,t,RoadType,ObservedCount,Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12,VehicleClass_Heavy,VehicleClass_Medium,VehicleClass_Light,FuelType_Diesel,FuelType_Unknown,FuelType_Gasoline,FuelType_Flexible,Vocation_LongHaul,Vocation_Regional,Vocation_Local,Vocation_HubAndSpoke,Vocation_DoorToDoor,NAICS_code_48,NAICS_code_44,NAICS_code_49,NAICS_code_42,NAICS_code_81,NAICS_code_23,NAICS_code_54,NAICS_code_56,NAICS_code_53,NAICS_code_31,NAICS_code_33,NAICS_code_45,NAICS_code_22,NAICS_code_92
27,9,motorway,15281.5,1116.8,1056.7,1368.7,1164.2,1340.7,1331.2,1233.3,1407.6,1273.1,1409.2,1315.1,1264.9,7514.8,2844.2,4701.6,8453.6,1841.0,4115.1,853.0,3234.6,3346.1,3906.3,2294.3,254.9,5039.1,1174.7,602.2,1949.2,545.6,1270.8,664.9,1202.5,635.3,555.0,441.4,236.0,66.7,44.5
28,9,primary,2701.1,211.9,195.1,251.9,204.1,233.8,235.3,212.4,253.0,220.5,243.3,226.0,213.6,917.7,582.4,1154.6,1114.6,349.1,1035.1,188.4,189.5,426.8,1025.0,569.8,107.7,548.4,285.1,61.6,386.6,98.5,232.2,125.6,305.4,93.7,123.1,76.4,64.5,47.8,60.8
29,9,trunk,3588.8,272.7,256.5,324.8,274.0,313.4,317.2,282.7,337.6,289.9,326.4,302.5,291.1,1298.1,744.4,1485.7,1557.1,448.1,1308.9,262.7,283.1,610.9,1352.4,706.3,131.8,787.1,336.7,85.7,472.4,170.2,288.8,160.7,383.9,160.6,224.4,105.9,83.5,64.3,49.4
30,10,motorway,15755.1,1173.8,1100.9,1367.6,1232.7,1383.2,1360.6,1253.5,1470.4,1299.5,1471.4,1351.2,1290.3,8153.8,2738.8,4604.3,8880.2,1944.0,4211.5,700.3,3593.6,3210.5,3638.6,2432.1,573.7,5412.6,1272.5,592.1,2164.7,533.7,1090.1,615.9,1266.9,646.3,582.2,418.1,207.6,62.8,45.0
31,10,primary,2796.5,230.5,211.7,256.1,217.2,243.2,242.3,217.8,256.2,223.4,245.1,231.4,221.3,934.7,575.6,1226.5,1122.9,346.6,1136.2,176.2,202.2,413.3,980.9,590.4,226.9,566.8,315.3,60.5,463.3,93.0,199.4,113.9,337.0,100.4,122.4,71.5,63.0,44.9,63.3
32,10,trunk,3515.7,274.9,253.8,312.6,273.2,308.0,302.0,276.7,328.9,285.3,318.7,296.5,285.1,1323.2,711.3,1429.1,1537.2,457.9,1303.3,206.7,298.3,586.7,1186.5,716.7,234.2,791.6,343.4,87.4,520.4,144.8,231.6,137.9,418.7,160.7,184.4,98.0,79.6,63.6,51.6
33,11,motorway,15649.8,1179.1,1079.0,1401.6,1227.4,1375.7,1335.6,1231.9,1469.6,1302.7,1435.3,1334.2,1277.8,8257.5,2737.0,4410.4,9021.0,1951.2,4053.7,603.7,3716.1,3099.7,3482.9,2429.1,587.8,5525.8,1251.1,580.6,2218.8,532.9,1056.6,615.1,1216.3,641.6,472.2,417.0,194.0,64.1,39.0
34,11,primary,2916.0,224.8,204.2,269.6,229.4,259.5,255.5,229.8,271.6,238.7,257.3,241.9,233.6,903.2,571.9,1373.3,1104.4,334.4,1293.0,170.9,202.5,414.2,981.8,577.6,352.9,555.0,311.2,58.5,539.8,94.0,205.0,118.4,382.7,102.9,118.9,78.7,59.0,52.3,62.9
35,11,trunk,3582.1,270.9,250.8,321.7,278.2,313.7,317.0,287.9,337.4,299.5,319.9,299.0,286.1,1327.9,685.8,1506.4,1528.7,454.2,1397.1,195.2,307.5,580.9,1183.7,705.0,299.8,799.2,348.8,78.2,550.5,152.4,230.3,149.3,455.1,157.6,157.5,101.5,73.0,70.7,51.2
36,12,motorway,14786.0,1127.6,1013.8,1352.5,1171.1,1280.8,1257.1,1159.8,1391.3,1243.6,1343.5,1262.0,1183.0,7837.9,2647.9,4092.8,8632.1,1836.9,3729.4,564.8,3615.5,2954.2,3388.4,2248.2,368.9,5320.9,1200.9,541.1,2002.7,504.4,1027.9,577.1,1066.4,596.3,435.2,428.9,196.9,60.7,35.6
